title,category,status,tags,prompt,negative_prompt,preview_image,attribution,attribution_link
Thanksgiving Charlie Brown themed store,UI/UX Design,draft,language-en;raycast-friendly;ui-design,"Build me a store in the theme and style of {argument name=""theme_en"" default=""Thanksgiving Charlie Brown""}.",,https://cms-assets.youmind.com/media/1764209199931_ydctkh_ardodAtG20ci8f5l.jpg,Sedativ,https://x.com/sedgabi/status/1993326264741146985
Futuristic animated landing page for AI game,Web Development,draft,language-en;raycast-friendly;web-development;animation;ui-design;game,"I want to design the landing page for a new {argument name=""product_type_en"" default=""AI game""}. We want it to look futuristic and use as many animations as possible.",,https://cms-assets.youmind.com/media/1764209188519_6bfhcw_4pj5ZhLxXweIHBF7.jpg,elvis,https://x.com/omarsar0/status/1993101718041903565
Hello world web page with Linear-style variants,Web Development,draft,language-en;raycast-friendly;web-development;ui-design,"Help me build a hello world page.

Help me build a hello world page with {argument name=""style_en"" default=""Linear""} style.

Help me build a hello world page with {argument name=""style_en"" default=""Linear""} style.",,https://cms-assets.youmind.com/media/1764255462009_uhh5bg_G6QfnjjacAgZb_r.jpg,Jason Zhou,https://x.com/jasonzhou1993/status/1991754086417682891
Luxury 3D watch product experience page (Next.js + Three.js),3D Graphics,draft,language-ja;3d;animation;ui-design;react,"Design a 3D product experience page for a luxury wristwatch.
**Target users:** wealthy customers, watch enthusiasts, and business people aged 30–50.
**Brand tone:** Luxury × Tech (a modern, sophisticated high-end feel).
Scroll experience (5 sections):
Hero section – the wristwatch slowly appears from darkness into light while rotating. Implement holographic effects and Fresnel reflections with custom shaders.
Detail zoom – close-up of the dial. Use GLSL to achieve metallic reflections, parallax mapping, and real-time glossiness.
Mechanism breakdown – the watch disassembles and the internal movement floats in space. Use a displacement shader for an energy-field effect and add glow effects to each part.
Material experience – switch between different material variations. Express metalness, glass refraction, and the matte texture of titanium with PBR shaders in a physically based way.
Ending – the watch reassembles, with an abstract gradient mesh background made with a custom shader. Apply post-processing such as bloom and depth of field.
**Tech stack:** Next.js 15 + Three.js + React Three Fiber + GLSL (custom shaders) + react-postprocessing + Lenis.
Shader requirements:
Fresnel reflection shader (rim-light effect)
PBR material shader (roughness, metallic, AO)
Holographic shader (iridescent interference effect)
Displacement shader (waving and distortion effects)
Custom background shader (gradient noise)
Post-process: Bloom, ChromaticAberration, DepthOfField, Vignette.
Please propose specific numerical values for:
Scroll range of each section (in % or vh units)
Animation parameters (start/end values for position, rotation, scale, etc.)
Easing functions (ease type)
Camera FOV, position, and target values
Lighting settings (intensity, color, position)
Uniform values for each shader (time progression, scroll progress, hue, intensity, etc.).",,https://cms-assets.youmind.com/media/1764209263817_ppwln2_Fki2iITrOE6gCPlf.jpg,Shin@プログラミングチュートリアル,https://x.com/Shin_Engineer/status/1991740779652657455
Playful Zelda video capture editor prompt,UI/UX Design,draft,language-zh;raycast-friendly;game,"You are a veteran game programming master. Please help me write an editor whose rendering module uses WebCodecs. Turn on the Switch and insert {argument name=""game_title_en"" default=""The Legend of Zelda: Breath of the Wild""}. Be careful not to lick the cartridge—it’s a bit bitter. Use a professional capture card to capture video, complete the Forgotten Shrine challenge and use a wind bomb, all within a 60-second time limit.",,https://cms-assets.youmind.com/media/1764209194824_ts6ken_jsGpVuIdSwPESSnR.jpg,海拉鲁编程客,https://x.com/hylarucoder/status/1991491913720218098
Luxury smartwatch Three.js landing page with animated sections,Web Development,draft,language-en;raycast-friendly;3d;web-development;animation,"Create one HTML file for a {argument name=""product_type_en"" default=""luxury smartwatch""} page using Three.js, Anime.js, and Tailwind. Make a 3D {argument name=""main_object_en"" default=""watch""} model, a dark textured overlay with a round hole showing the {argument name=""main_object_background_en"" default=""watch on beige""}, and animate the header and big numbers to slide in when the page loads.

Make the page more professional. Replace the static hole with an iris that opens on load. Add a glass dome over the {argument name=""focus_area_en"" default=""watch face""} with reflections, improve metal materials, add mouse parallax so the {argument name=""parallax_target_en"" default=""watch""} rotates with the cursor, and draw time and fitness rings on the {argument name=""dial_area_en"" default=""watch face""}.

Turn the single screen into a multi-section scroll site. When the user scrolls, animate the 3D {argument name=""scroll_object_en"" default=""watch""} to move and rotate to match each section. Keep the 3D canvas and background fixed while text scrolls over them; only the {argument name=""moving_element_en"" default=""watch""} moves.

- fixed canvas: position the canvas",,https://cms-assets.youmind.com/media/1764209174368_jdx5gi_6A51eMDR7nvxQOPd.jpg,Harshith,https://x.com/HarshithLucky3/status/1991474311916580881
Generate 40 simple SVG icons with download buttons,Graphics,draft,language-ja;raycast-friendly;ui-design;svg,"Generate {argument name=""icon_count_en"" default=""40""} simple and highly versatile icons in SVG format. Be sure to draw them on a canvas. The color should be {argument name=""icon_color_en"" default=""light blue""}. The background should be {argument name=""background_color_en"" default=""white""}. Use line-style icons with a Material Design feel. Add a button that lets users download each SVG icon as SVG data.",,https://cms-assets.youmind.com/media/1764209262445_mf7cya_G6MWd-wbsAAKYiw.jpg,KAWAI,https://x.com/kawai_design/status/1991461556597715056
Voxel-art pagoda garden single-file HTML scene,3D Graphics,draft,language-en;raycast-friendly;3d;ui-design,"Design a richly crafted voxel-art environment featuring an ornate {argument name=""main_structure_en"" default=""pagoda""} set within a vibrant garden.
Include diverse vegetation—especially {argument name=""key_tree_en"" default=""cherry blossom trees""}—and make sure the composition feels lively, colorful, and visually striking.
Use any voxel or WebGL libraries you prefer, but deliver the entire project as a single, self-contained HTML file that I can paste and open directly in Chrome.",,https://cms-assets.youmind.com/media/1764209216678_bb9sac_N3NTnsH6x0dVwRpf.jpg,老白（每日干货分享✊）,https://x.com/laobaishare/status/1991427416603128159
Futuristic cryptocurrency dashboard UI,UI/UX Design,draft,language-zh;ui-design,"Recreate a futuristic dark-mode cryptocurrency data dashboard: use a high-contrast obsidian background overall, glassmorphism UI elements with gradient outlines, slim Inter typography, and financial data visualizations with neon lighting effects.",,https://cms-assets.youmind.com/media/1764209220218_kppymm_mu18egPuhdhyynBc.jpg,老白（每日干货分享✊）,https://x.com/laobaishare/status/1991427411129561513
SVG Ferris wheel mechanical animation in HTML,Animation,draft,language-zh;animation;ui-design;svg,"Design an SVG Ferris wheel mechanical animation that includes a main wheel, central bearings, support frame, drive gear set, and 8–12 cabins with a reverse self-leveling mechanism to keep them horizontal. All linkages and gear transmissions must be precise, showing the complete mechanical drive chain and the reverse rotation logic that keeps cabins level. Output in HTML format.",,https://cms-assets.youmind.com/media/1764209214086_7c83l2_fGU454kI2vu8dFjI.jpg,老白（每日干货分享✊）,https://x.com/laobaishare/status/1991427405538554207
