title,category,status,tags,prompt,negative_prompt,preview_image,attribution,attribution_link
Skateboarding Teenager Film Photography Prompt,Photography,draft,language-en;featured;photography;cinematic,"A Black teenager performs difficult skateboarding tricks in a graffiti-covered skate park, Kodak Professional PORTRA 400 film --chaos 20 --ar 16:9 --seed 1500856893 --exp 30",,https://cms-assets.youmind.com/media/1766035340414_8oj4xd_G8YXcGJb0AAj8iq.jpg,Johnny Wang,https://x.com/JohnnyWang8802/status/2001313619544604693
German alphabet poster for children,Poster Design,draft,language-en;featured;poster;cartoon;educational,"A poster with all letters of the alphabet from A to Z. Under each letter is an animal whose name begins with that letter. The name is written under each animal. Style: cutely drawn, comic-style. It is a poster that children can use to learn the alphabet.",,https://cms-assets.youmind.com/media/1766035315861_c6ampx_G8YDG9MXUAAoUJV.jpg,smn Sk,https://x.com/smnSk241687/status/2001293727227105678
Flat vector illustration of a woman working,Illustration,draft,language-en;featured;illustration,Flat vector illustration of a woman with blonde hair sitting at a desk working on her laptop.,,https://cms-assets.youmind.com/media/1766035313081_ppl256_G8YOe_hXEAAk25v.jpg,PromptlyAI,https://x.com/PromptlyAI_YT/status/2001303013567181294
Christmas Wreath Generation,Image Generation,draft,language-ja,A Christmas wreath like this was displayed at the entrance.,,https://cms-assets.youmind.com/media/1766388937874_eg2zj4_G8plYZsbwAAHbbV.jpg,カーブミラー,https://x.com/kabumira862571/status/2002524462739276233
Photorealistic Full-Body Portrait of Woman in Urban Setting,Photography,draft,language-en;photography;poster;portrait;cinematic,"Photorealistic full-body portrait of a stunning young woman with sun-kissed olive skin, long wavy dark brown hair cascading over her shoulders, large expressive dark eyes with bold winged eyeliner, long lashes, and glossy deep nude-pink lips in a confident, slightly parted pout. She has a delicate gold necklace with a small pendant resting in her deep cleavage. She wears an oversized loose-fit brown T-shirt dress with short sleeves, the hem ending high on her thighs to reveal her toned legs, the fabric draping softly over her curves. She is barefoot with perfectly pedicured toes. Pose: sitting on a wooden bench in an urban industrial setting, legs crossed elegantly, one arm resting on the back of the bench, the other relaxed by her side, head tilted slightly with a seductive gaze directly at the camera. She wears tall black lace-up platform heels with open toes and multiple straps wrapping around her ankles and calves. Background: minimalist concrete interior with large windows letting in soft natural daylight, creating warm golden highlights and subtle shadows on her skin and the textured fabric of her dress. Ultra-detailed skin texture with realistic sun-kissed glow, intricate lace-up boot details, sharp focus on subject, cinematic depth of field with gentle background blur, high dynamic range, 8K resolution, photorealism, masterpiece quality.",,https://cms-assets.youmind.com/media/1766388936092_r6iycc_G8pJapQWEAA8uQf.jpg,KeorUnreal,https://x.com/KeorUnreal/status/2002493715429175745
Ultra-Realistic Cinematic Night Street Selfie During a High-Speed Escape,Photography,draft,language-en;raycast-friendly;photography;poster;cinematic;fashion;selfie,"""Ultra-realistic cinematic night street selfie with a confident, stylish person in the reference photo leaning out of a car window in a rainy city during a high-speed escape."",

""pose"": {

""arm"": ""extended toward the camera holding the phone"",

""head"": ""slightly tilted back"",

""attitude"": ""fearless, playful""

},

""face\_and\_skin"": {

""identity"": ""100% preserved, no changes to facial structure, proportions, or unique features"",

""skin"": ""smooth, luminous with glossy streetlight highlights"",

""cheekbones"": ""softly sculpted"",

""lips"": ""glossy,"",

""eyes"": ""expressive, partially hidden behind narrow black rectangular sunglasses"",

""texture"": ""realistic, natural skin texture, visible pores, reflections""

},

""hair"": {

""style"": ""long, flowing, wind-blown by speed and night air"",

""volume"": ""natural""

},

""outfit\_and\_details"": {

""coat"": ""bold {argument name=""coat pattern"" default=""leopard-print""} faux-fur draped luxuriously over the shoulders"",

""manicure"": ""glossy {argument name=""manicure color"" default=""red""}"",

""jewelry"": ""minimal silver rings"",

""glass"": ""elegant martini glass with a clear cocktail and green olives, catching sharp reflections""

},

""environment"": {

""setting"": ""wet asphalt night city street"",

""motion"": ""intense, high-speed, with a police car chasing behind"",

""lights"": {

""headlights"": ""blurred, aggressive light streaks"",

""street\_lights"": ""golden sodium street lamps creating large dramatic bokeh circles"",

""police\_lights"": ""blue and red siren flashes creating reflections""

},

""mood"": ""rebellious, playful, glamorous chaos; adrenaline-fueled nightlife energy"",

""aesthetic"": ""fashion-editorial crime style""

},

""lighting"": {

""contrast"": ""high, dynamic mix of warm sodium streetlights, cold blue police lights, and red siren flashes"",

""reflections"": ""glossy on skin, glass, car body, and rain-soaked street""

},

""camera\_and\_style"": {

""perspective"": ""wide-angle smartphone selfie"",

""depth\_of\_field"": ""shallow"",

""background"": ""strong motion blur with light streaks"",

""detail"": ""ultra-high, realistic film grain"",

""color\_grading"": ""cinematic"",

""vibe"": ""modern luxury runaway""

},

""body"": {

"": {

""size"": ""slightly larger and elongated""

}

},

""ratio"": ""9:16""",,https://cms-assets.youmind.com/media/1766388925275_oxc3st_G8ovT3XbMAA2wLh.jpg,K,https://x.com/ChillaiKalan__/status/2002465016998735930
Recreate Screenshot as Next-Gen Video Game,Cinematic,draft,language-en,"Recreate this screenshot as next-gen video game, where games have become so realistic that they look like movies",,https://cms-assets.youmind.com/media/1766388933333_krvqdp_G8otlt0XoAABHUy.jpg,𝓗𝓪𝓵𝓲𝓵 𝓚𝓮𝓶𝓪𝓵 𝓨𝓪𝓿𝓪𝓼𝓬𝓪,https://x.com/Dreammassacre/status/2002463116664451089
JSON Prompt to Recreate Image Details,Image Generation,draft,language-en,Write a JSON prompt describing exactly every single detail of the image.,,https://cms-assets.youmind.com/media/1766388928169_y9mogo_G8op0BxWQAA85uS.jpg,Sura Baghirova,https://x.com/surasb11/status/2002458961564639473
Grok Imagine Prompt based on a Photo,Photography,draft,language-en;photography,this photo + grok imagine prompt,,https://cms-assets.youmind.com/media/1766388928667_j37h8l_G8oil4eXoAAzdoU.jpg,Five,https://x.com/Five69/status/2002451024922231197
Cozy Cinematic Lifestyle Photo Series of a Woman in a Sunlit Kitchen,Photography,draft,language-en;raycast-friendly;photography;poster;cinematic,"A cozy cinematic lifestyle photo series captured as a multi-frame grid, showing a young woman in a warm, sunlit kitchen during a quiet tea moment. She wears a soft {argument name=""dress color"" default=""rose-pink""} sleeveless dress, seated at a small wooden round table by a window. Natural morning light pours in, creating gentle highlights and soft shadows. The sequence includes close-ups of her sipping tea from a delicate floral teacup, over-the-shoulder shots during a calm conversation, top-down views of the tea set on a woven placemat, side profiles, and subtle candid expressions. Neutral cream-toned kitchen with hanging copper utensils in the background. Intimate, peaceful mood, shallow depth of field, film-like softness, editorial storytelling style, realistic skin texture, warm color grading, minimalistic composition, high-detail cinematic realism.",,https://cms-assets.youmind.com/media/1766388925213_1pgmrf_G8oikfuaMAAt6jL.jpg,Smiling Khan,https://x.com/AIwithkhan/status/2002450998208704590
